,Claim ID,Claim,INDRA,English,BEL
24,339,Dexamethasone increases risk of postoperative bleeding.,"Activation(dexamethasone(), Hemorrhage())",Dexamethasone activates Hemorrhage,a(CHEBI:41879 ! dexamethasone) increases bp(MESH:D006470 ! Hemorrhage)
25,389,Ethanol stress increases the expression of IBP in bacteria.,"IncreaseAmount(ethanol(), DEF6())",Ethanol increases the amount of DEF6,a(CHEBI:16236 ! ethanol) increases p(HGNC:2760 ! DEF6)
26,390,Ethanol stress increases the expression of PSP in bacteria.,"IncreaseAmount(ethanol(), STXBP3())",Ethanol increases the amount of STXBP3,a(CHEBI:16236 ! ethanol) increases p(HGNC:11446 ! STXBP3)
27,391,Ethanol stress increases the expression of SRL in bacteria.,"IncreaseAmount(ethanol(), SRL())",Ethanol increases the amount of SRL,a(CHEBI:16236 ! ethanol) increases p(HGNC:11295 ! SRL)
28,392,Ethanol stress lowers the expression of PSP in bacteria.,"DecreaseAmount(ethanol(), STXBP3())",Ethanol decreases the amount of STXBP3,a(CHEBI:16236 ! ethanol) decreases p(HGNC:11446 ! STXBP3)
29,393,Ethanol stress reduces the expression of SRL in bacteria.,"DecreaseAmount(ethanol(), SRL())",Ethanol decreases the amount of SRL,a(CHEBI:16236 ! ethanol) decreases p(HGNC:11295 ! SRL)
30,413,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,"Inhibition(Apolipoprotein(), Dementia())",Apolipoprotein inhibits Dementia,p(FPLX:Apolipoprotein ! Apolipoprotein) decreases bp(MESH:D003704 ! Dementia)
31,430,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,"Inhibition(reactive oxygen species(), FOXO3())",Reactive oxygen species inhibits FOXO3,"a(CHEBI:26523 ! ""reactive oxygen species"") decreases p(HGNC:3821 ! FOXO3)"
32,430,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,"Inhibition(reactive oxygen species(), FOXO3())", Reactive oxygen species inhibits FOXO3,"a(CHEBI:26523 ! ""reactive oxygen species"") decreases p(HGNC:3821 ! FOXO3)"
33,430,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,"Activation(FOXO3(), death())", FOXO3 activates death,p(HGNC:3821 ! FOXO3) increases p(PFAM:PF00531 ! death)
34,441,G-CSF increases the expansion and infiltration of MDSCs into tumors.,"Activation(CSF3(), Neoplasms())",CSF3 activates Neoplasms,p(HGNC:2438 ! CSF3) increases bp(MESH:D009369 ! Neoplasms)
35,441,G-CSF increases the expansion and infiltration of MDSCs into tumors.,"Activation(CSF3(), Neoplasm Invasiveness())", CSF3 activates Neoplasm Invasiveness,"p(HGNC:2438 ! CSF3) increases bp(MESH:D009361 ! ""Neoplasm Invasiveness"")"
36,472,Glucose restriction to 0.05% reduces RLS (replicative life span) by 20-40% in S. cerevisiae.,"Inhibition(glucose(), span())",Glucose inhibits span,a(CHEBI:17234 ! glucose) decreases p(PFAM:PF02510 ! span)
37,472,Glucose restriction to 0.05% reduces RLS (replicative life span) by 20-40% in S. cerevisiae.,"Inhibition(glucose(), RLS())", Glucose inhibits RLS,a(CHEBI:17234 ! glucose) decreases a(TEXT:RLS)
38,479,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,"Activation(ADGRA2(), BBB())",ADGRA2 activates BBB,p(HGNC:17849 ! ADGRA2) increases a(TEXT:BBB)
39,480,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,"Inhibition(ADGRA2(), BBB())",ADGRA2 inhibits BBB,p(HGNC:17849 ! ADGRA2) decreases a(TEXT:BBB)
40,482,Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,"Complex(Integrins(), FN1())",Integrins binds FN1,"p(FPLX:Integrins ! Integrins) partOf complex(p(FPLX:Integrins ! Integrins), p(HGNC:3778 ! FN1))"
41,482,Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,"Activation(guanine(), RHOA())", Guanine activates RHOA,"p(HGNC:3778 ! FN1) partOf complex(p(FPLX:Integrins ! Integrins), p(HGNC:3778 ! FN1))"
42,482,Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,"Activation(GEF(), RHOA())", GEF activates RHOA,a(CHEBI:16235 ! guanine) increases p(HGNC:667 ! RHOA)
43,484,"H4 G94P proteins induce chromatin assembly, which increases free histones.","Activation(Histone_H4(muts: (G, 94, P)), chromatin assembly())",Histone_H4-G94P activates chromatin assembly,"p(HGNC:29607 ! H4C15, var(""p.Gly94Pro"")) increases bp(GO:""GO:0031497"" ! ""chromatin assembly"")"
44,485,H4 G94P proteins induce degradation of free histones via Rad53-dependent mechanisms.,"Inhibition(Histone_H4(muts: (G, 94, P)), Histone())",Histone_H4-G94P inhibits Histone,"p(HGNC:29607 ! H4C15, var(""p.Gly94Pro"")) decreases p(FPLX:Histone ! Histone)"
45,486,"H4 G94P proteins inhibit chromatin assembly, which decreases free histones.","Inhibition(Histone_H4(muts: (G, 94, P)), chromatin assembly())",Histone_H4-G94P inhibits chromatin assembly,"p(HGNC:29607 ! H4C15, var(""p.Gly94Pro"")) decreases bp(GO:""GO:0031497"" ! ""chromatin assembly"")"
46,487,H4 G94P proteins suppress degradation of free histones via Rad53-dependent mechanisms.,"Inhibition(Histone_H4(muts: (G, 94, P)), Histone())",Histone_H4-G94P inhibits Histone,"p(HGNC:29607 ! H4C15, var(""p.Gly94Pro"")) decreases p(FPLX:Histone ! Histone)"
47,542,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.","Dephosphorylation(IFI16(), STING1())",IFI16 leads to the dephosphorylation of STING1,"p(HGNC:5395 ! IFI16) decreases p(HGNC:27962 ! STING1, pmod(go:0006468 ! ""protein phosphorylation""))"
48,615,Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,"Activation(LRRK2(), axonal transport())",LRRK2 activates axonal transport,"p(HGNC:18618 ! LRRK2) increases bp(GO:""GO:0098930"" ! ""axonal transport"")"
49,622,Individuals with low serum vitamin D concentrations have decreased risk of multiple sclerosis.,"Inhibition(vitamin D(), Multiple Sclerosis())",Vitamin D inhibits Multiple Sclerosis,"a(CHEBI:27300 ! ""vitamin D"") decreases bp(MESH:D009103 ! ""Multiple Sclerosis"")"
50,626,Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.,"Activation(urokinase receptor(), Proteinuria())",Urokinase receptor activates Proteinuria,"a(TEXT:""urokinase receptor"") increases bp(MESH:D011507 ! Proteinuria)"
51,645,Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,"IncreaseAmount(vitamin B6(), homocysteine())",Vitamin B6 increases the amount of homocysteine,"a(CHEBI:27306 ! ""vitamin B6"") increases a(CHEBI:17230 ! homocysteine)"
52,645,Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,"IncreaseAmount(folic acid(), homocysteine())", Folic acid increases the amount of homocysteine,"a(CHEBI:27470 ! ""folic acid"") increases a(CHEBI:17230 ! homocysteine)"
53,645,Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,"IncreaseAmount(FXN(), homocysteine())", FXN increases the amount of homocysteine,p(HGNC:3951 ! FXN) increases a(CHEBI:17230 ! homocysteine)
54,646,Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,"DecreaseAmount(folic acid(), homocysteine())",Folic acid decreases the amount of homocysteine,"a(CHEBI:27470 ! ""folic acid"") decreases a(CHEBI:17230 ! homocysteine)"
55,646,Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,"DecreaseAmount(FXN(), homocysteine())", FXN decreases the amount of homocysteine,p(HGNC:3951 ! FXN) decreases a(CHEBI:17230 ! homocysteine)
56,646,Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,"DecreaseAmount(vitamin B6(), homocysteine())", Vitamin B6 decreases the amount of homocysteine,"a(CHEBI:27306 ! ""vitamin B6"") decreases a(CHEBI:17230 ! homocysteine)"
57,651,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 encourage West Nile virus replication in cortical neurons.","Activation(Interferon(), RSAD2())",Interferon activates RSAD2,p(FPLX:Interferon ! Interferon) increases p(HGNC:30908 ! RSAD2)
58,651,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 encourage West Nile virus replication in cortical neurons.","Activation(Interferon(), ACOD1())", Interferon activates ACOD1,p(FPLX:Interferon ! Interferon) increases p(HGNC:33904 ! ACOD1)
59,651,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 encourage West Nile virus replication in cortical neurons.","Activation(Interferon(), IRF1())", Interferon activates IRF1,p(FPLX:Interferon ! Interferon) increases p(HGNC:6116 ! IRF1)
60,651,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 encourage West Nile virus replication in cortical neurons.","Activation(Interferon(), IFI27())", Interferon activates IFI27,p(FPLX:Interferon ! Interferon) increases p(HGNC:5397 ! IFI27)
61,652,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 inhibit West Nile virus replication in cortical neurons.","Activation(Interferon(), RSAD2())",Interferon activates RSAD2,p(FPLX:Interferon ! Interferon) increases p(HGNC:30908 ! RSAD2)
62,652,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 inhibit West Nile virus replication in cortical neurons.","Activation(Interferon(), IRF1())", Interferon activates IRF1,p(FPLX:Interferon ! Interferon) increases p(HGNC:6116 ! IRF1)
63,652,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 inhibit West Nile virus replication in cortical neurons.","Activation(Interferon(), IFI27())", Interferon activates IFI27,p(FPLX:Interferon ! Interferon) increases p(HGNC:5397 ! IFI27)
64,652,"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 inhibit West Nile virus replication in cortical neurons.","Activation(Interferon(), ACOD1())", Interferon activates ACOD1,p(FPLX:Interferon ! Interferon) increases p(HGNC:33904 ! ACOD1)
65,654,Intra-cerebroventricular infusion of amyloid-β oligomers increases expression of fibronectin type-III domain-containing protein 5 mRNA in mice hippocampi.,"IncreaseAmount(amyloid-β(), FN1())",Amyloid-β increases the amount of FN1,"a(TEXT:""amyloid-β"") increases p(HGNC:3778 ! FN1)"
66,655,Intra-cerebroventricular infusion of amyloid-β oligomers reduces expression of fibronectin type-III domain-containing protein 5 mRNA in mice hippocampi.,"DecreaseAmount(amyloid-β(), FN1())",Amyloid-β decreases the amount of FN1,"a(TEXT:""amyloid-β"") decreases p(HGNC:3778 ! FN1)"
67,665,KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,"IncreaseAmount(KRT17(), AIRE())",KRT17 increases the amount of AIRE,p(HGNC:6427 ! KRT17) increases p(HGNC:360 ! AIRE)
68,665,KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,"IncreaseAmount(KRT17(), transcriptional regulator())", KRT17 increases the amount of transcriptional regulator,"p(HGNC:6427 ! KRT17) increases p(PFAM:PF02082 ! ""transcriptional regulator"")"
69,671,Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.,"Activation(BMPR1A(), Fibrosis())",BMPR1A activates Fibrosis,p(HGNC:1076 ! BMPR1A) increases bp(MESH:D005355 ! Fibrosis)
70,672,L3MBTL2 binds to H2AK119Ub marked chromatin to form a PRC1 complex.,"Complex(L3MBTL2(), H2AK119Ub())",L3MBTL2 binds H2AK119Ub,"a(TEXT:H2AK119Ub) partOf complex(a(TEXT:H2AK119Ub), p(HGNC:18594 ! L3MBTL2))"
71,736,MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.,"Complex(MFGE8(), Integrins())",MFGE8 binds Integrins,"p(FPLX:Integrins ! Integrins) partOf complex(p(FPLX:Integrins ! Integrins), p(HGNC:7036 ! MFGE8))"
72,740,MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,"Activation(MUC1-C(), SYT1())",MUC1-C activates SYT1,a(TEXT:MUC1-C) increases p(HGNC:11509 ! SYT1)
73,740,MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,"Activation(MUC1-C(), signal transduction())", MUC1-C activates signal transduction,"a(TEXT:MUC1-C) increases bp(GO:""GO:0007165"" ! ""signal transduction"")"
74,747,MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.,"Inhibition(MAFA(), KAT2B())",MAFA inhibits KAT2B,p(HGNC:23145 ! MAFA) decreases p(HGNC:8638 ! KAT2B)
75,748,MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.,"Activation(MAFA(), KAT2B())",MAFA activates KAT2B,p(HGNC:23145 ! MAFA) increases p(HGNC:8638 ! KAT2B)
76,751,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,"Inhibition(MVP(), Neoplasms())",MVP inhibits Neoplasms,p(HGNC:7531 ! MVP) decreases bp(MESH:D009369 ! Neoplasms)
77,751,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,"Activation(MVP(), Neoplasms())", MVP activates Neoplasms,p(HGNC:7531 ! MVP) increases bp(MESH:D009369 ! Neoplasms)
78,751,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,"Activation(MVP(), Neoplasms())", MVP activates Neoplasms,p(HGNC:7531 ! MVP) increases bp(MESH:D009369 ! Neoplasms)
79,751,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,"Inhibition(MVP(), Neoplasms())", MVP inhibits Neoplasms,p(HGNC:7531 ! MVP) decreases bp(MESH:D009369 ! Neoplasms)
80,828,NAC inhibits the generation of angiotensin-converting enzyme.,"Inhibition(XK(), ACE())",XK inhibits ACE,p(HGNC:12811 ! XK) decreases p(HGNC:2707 ! ACE)
81,893,Osteocytes have an essential role in G-CSF induced HSPC mobilization.,"Activation(CSF3(), PSMA7())",CSF3 activates PSMA7,p(HGNC:2438 ! CSF3) increases p(HGNC:9536 ! PSMA7)
82,896,Overexpressing Cnp1 N-tail variants exacerbates the temperature-sensitive growth defect of scm3-139.,"Activation(scm3-139(), Cnp1())",Scm3-139 activates Cnp1,a(TEXT:scm3-139) increases p(PFAM:PF08750 ! Cnp1)
83,897,Overexpressing Cnp1 N-tail variants rescues the temperature-sensitive growth defect of scm3-139.,"Activation(scm3-139(), Cnp1())",Scm3-139 activates Cnp1,a(TEXT:scm3-139) increases p(PFAM:PF08750 ! Cnp1)
84,901,PCSK9 inhibitors decrease plasma Lp(a) levels.,"IncreaseAmount(PCSK9 inhibitors(), LPA())",PCSK9 inhibitors increases the amount of LPA,"a(TEXT:""PCSK9 inhibitors"") increases p(HGNC:6667 ! LPA)"
85,902,PD-1 triggering on monocytes enhances IL-10 production by monocytes.,"Activation(interleukin-10 production(), RPL17())",Interleukin-10 production activates RPL17,"bp(GO:""GO:0032613"" ! ""interleukin-10 production"") increases p(HGNC:10307 ! RPL17)"
86,933,Pediatric SCD patients with vaso-occlusive crisis show increased morphine use after breathing 80 ppm iNO for 4 hours.,"Activation(SCD(), morphine())",SCD activates morphine,p(HGNC:10571 ! SCD) increases a(CHEBI:17303 ! morphine)
87,933,Pediatric SCD patients with vaso-occlusive crisis show increased morphine use after breathing 80 ppm iNO for 4 hours.,"Activation(SCD(), iNO())", SCD activates iNO,p(HGNC:10571 ! SCD) increases a(PUBCHEM:6021 ! 6021)
88,969,PrimPol degrades short DNA replication intermediates on the leading strand during DNA replication.,"Inhibition(PRIMPOL(), DNA replication())",PRIMPOL inhibits DNA replication,"p(HGNC:26575 ! PRIMPOL) decreases bp(GO:""GO:0006260"" ! ""DNA replication"")"
89,979,Progerin induces premature aging in stem cells.,"Activation(Progerin(), Aging, Premature())","Progerin activates Aging, Premature","a(TEXT:Progerin) increases bp(MESH:D019588 ! ""Aging, Premature"")"
90,990,Pyridostatin decreases telomere fragility in BRCA2-deficient cells.,"Activation(Pyridostatin(), BRCA2())",Pyridostatin activates BRCA2,a(TEXT:Pyridostatin) increases p(HGNC:1101 ! BRCA2)
91,992,Pyridostatin deregulates G2/M progression.,"Inhibition(Pyridostatin(), G2/M())",Pyridostatin inhibits G2/M,"a(TEXT:Pyridostatin) decreases a(TEXT:""G2/M"")"
92,999,Pyridostatin reduces proliferation of homologous recombination - defective cells.,"Inhibition(Pyridostatin(), cell population proliferation())",Pyridostatin inhibits cell population proliferation,"a(TEXT:Pyridostatin) decreases bp(GO:""GO:0008283"" ! ""cell population proliferation"")"
93,999,Pyridostatin reduces proliferation of homologous recombination - defective cells.,"Inhibition(Pyridostatin(), homologous recombination())", Pyridostatin inhibits homologous recombination,"a(TEXT:Pyridostatin) decreases bp(GO:""GO:0035825"" ! ""homologous recombination"")"
94,1002,RA activation of DIF2 and NB4 cells induces hallmarks of transcriptionally active promoters.,"Activation(RA(), IER3())",RA activates IER3,p(PFAM:PF00788 ! RA) increases p(HGNC:5392 ! IER3)
95,1026,Reduced phosphorylation of PP2A increases HDAC4 dephosphorylation by enhancing PP2A-HDAC4 interaction.,"Phosphorylation(PPP2(mods: (phosphorylation)), HDAC4())",Phosphorylated PPP2 leads to the phosphorylation of HDAC4,"p(FPLX:PPP2 ! PPP2, pmod(go:0006468 ! ""protein phosphorylation"")) increases p(HGNC:14063 ! HDAC4, pmod(go:0006468 ! ""protein phosphorylation""))"
96,1027,Reduced phosphorylation of PP2A suppresses HDAC4 dephosphorylation.,"Dephosphorylation(PPP2(mods: (phosphorylation)), HDAC4())",Phosphorylated PPP2 leads to the dephosphorylation of HDAC4,"p(FPLX:PPP2 ! PPP2, pmod(go:0006468 ! ""protein phosphorylation"")) decreases p(HGNC:14063 ! HDAC4, pmod(go:0006468 ! ""protein phosphorylation""))"
97,1084,Side effects associated with antidepressants increases risk of stroke.,"Activation(Side(), Stroke())",Side activates Stroke,p(PFAM:PF12252 ! Side) increases bp(MESH:D020521 ! Stroke)
98,1090,Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,"Activation(Smc5/6(), E3_Ub_ligase())",Smc5/6 activates E3_Ub_ligase,"a(TEXT:""Smc5/6"") increases p(FPLX:""E3_Ub_ligase"" ! ""E3_Ub_ligase"")"
99,1090,Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,"Activation(Smc5/6(), NSMCE2())", Smc5/6 activates NSMCE2,"a(TEXT:""Smc5/6"") increases p(HGNC:26513 ! NSMCE2)"
100,1118,Sweet taste receptors on the tongue are deactivated by between 1 and 10 mM glucose.,"Inhibition(glucose(), sensory perception of taste())",Glucose inhibits sensory perception of taste,"a(CHEBI:17234 ! glucose) decreases bp(GO:""GO:0050909"" ! ""sensory perception of taste"")"
101,1136,TNFAIP3 is a tumor enhancer in glioblastoma.,"Activation(TNFAIP3(), Glioblastoma())",TNFAIP3 activates Glioblastoma,p(HGNC:11896 ! TNFAIP3) increases bp(MESH:D005909 ! Glioblastoma)
102,1136,TNFAIP3 is a tumor enhancer in glioblastoma.,"Activation(Neoplasms(), Glioblastoma())", Neoplasms activates Glioblastoma,p(HGNC:11896 ! TNFAIP3) increases bp(MESH:D005909 ! Glioblastoma)
103,1136,TNFAIP3 is a tumor enhancer in glioblastoma.,"Activation(TNFAIP3(), Glioblastoma())", TNFAIP3 activates Glioblastoma,bp(MESH:D009369 ! Neoplasms) increases bp(MESH:D005909 ! Glioblastoma)
104,1173,The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,"Inhibition(PDPN(), CLEC1B())",PDPN inhibits CLEC1B,p(HGNC:29602 ! PDPN) decreases p(HGNC:24356 ! CLEC1B)
105,1195,The artifactual C-terminal helix swapping in the StART domain is observed in the Ups1-Mdm35 heterodimer of the StARkin superfamily.,"Complex(UPS1(), TRIAP1())",UPS1 binds TRIAP1,"p(HGNC:26937 ! TRIAP1) partOf complex(p(HGNC:26937 ! TRIAP1), p(UP:Q9ZPR7 ! Q9ZPR7))"
106,1224,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,"Activation(Infections(), gene expression())",Infections activates gene expression,"bp(MESH:D007239 ! Infections) increases bp(GO:""GO:0010467"" ! ""gene expression"")"
107,1234,The minor G allele of FOXO3 up-regulates IL-10.,"Activation(FOXO3(), IL10())",FOXO3 activates IL10,p(HGNC:3821 ! FOXO3) increases p(HGNC:5962 ! IL10)
108,1328,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,"Activation(Tuberculosis(), Granuloma())",Tuberculosis activates Granuloma,bp(MESH:D014376 ! Tuberculosis) increases bp(MESH:D006099 ! Granuloma)
109,1347,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly diminish the early production of inflammatory chemokines in the lung.","Inhibition(Influenza, Human(), Chemokine())","Influenza, Human inhibits Chemokine","bp(MESH:D007251 ! ""Influenza, Human"") decreases p(FPLX:Chemokine ! Chemokine)"
110,1348,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung.","Activation(Influenza, Human(), Chemokine())","Influenza, Human activates Chemokine","bp(MESH:D007251 ! ""Influenza, Human"") increases p(FPLX:Chemokine ! Chemokine)"
111,1349,Upregulation of PD1 causes the downmodulation of Satb1.,"Activation(RPL17(), SATB1())",RPL17 activates SATB1,p(HGNC:10307 ! RPL17) increases p(HGNC:10541 ! SATB1)
112,1350,Upregulation of PD1 causes the upregulation of Satb1.,"Activation(RPL17(), SATB1())",RPL17 activates SATB1,p(HGNC:10307 ! RPL17) increases p(HGNC:10541 ! SATB1)
