Subject,Predicate,Object,Evidence
p(HGNC:11905 ! TNFRSF10B),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Killer Cells, Natural inhibits SARS-CoV-2.
p(HGNC:11905 ! TNFRSF10B),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Killer Cells, Natural inhibits SARS Virus.
p(HGNC:11905 ! TNFRSF10B),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Killer Cells, Natural inhibits Rift Valley fever virus.
p(HGNC:11905 ! TNFRSF10B),decreases,bp(MESH:D013577 ! Syndrome),Killer Cells, Natural inhibits Middle East Respiratory Syndrome Coronavirus.
p(HGNC:11905 ! TNFRSF10B),decreases,bp(MESH:D006505 ! Hepatitis),Killer Cells, Natural inhibits Murine hepatitis virus.
a(CHEBI:4653 ! dipyridamole),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Dipyridamole inhibits SARS-CoV-2.
a(CHEBI:422 ! "(S)-lactic acid"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Lactic Acid inhibits SARS-CoV-2.
a(CHEBI:422 ! "(S)-lactic acid"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Lactic Acid inhibits SARS Virus.
a(CHEBI:28815 ! "heparan sulfate"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Heparan sulfate inhibits SARS-CoV-2.
a(CHEBI:28815 ! "heparan sulfate"),decreases,bp(MESH:D013577 ! Syndrome),Heparan sulfate inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:28815 ! "heparan sulfate"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Heparan sulfate inhibits SARS Virus.
a(CHEBI:28815 ! "heparan sulfate"),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Heparan sulfate inhibits Rift Valley fever virus.
a(CHEBI:28815 ! "heparan sulfate"),decreases,bp(MESH:D006505 ! Hepatitis),Heparan sulfate inhibits Murine hepatitis virus.
a(CHEBI:28304 ! heparin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Heparin inhibits SARS-CoV-2.
a(CHEBI:28304 ! heparin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Heparin inhibits SARS Virus.
a(CHEBI:28304 ! heparin),decreases,bp(MESH:D013577 ! Syndrome),Heparin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:28304 ! heparin),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Heparin inhibits Rift Valley fever virus.
a(CHEBI:28304 ! heparin),decreases,bp(MESH:D006505 ! Hepatitis),Heparin inhibits Murine hepatitis virus.
a(CHEBI:6888 ! 6alpha-methylprednisolone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Methylprednisolone inhibits SARS-CoV-2.
a(CHEBI:6888 ! 6alpha-methylprednisolone),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Methylprednisolone inhibits SARS Virus.
a(CHEBI:6888 ! 6alpha-methylprednisolone),decreases,bp(MESH:D013577 ! Syndrome),Methylprednisolone inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:6888 ! 6alpha-methylprednisolone),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Methylprednisolone inhibits Rift Valley fever virus.
a(CHEBI:63580 ! ribavirin),decreases,bp(MESH:D013577 ! Syndrome),Ribavirin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:63580 ! ribavirin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ribavirin inhibits SARS-CoV-2.
a(CHEBI:63580 ! ribavirin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ribavirin inhibits SARS Virus.
a(CHEBI:63580 ! ribavirin),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Ribavirin inhibits Rift Valley fever virus.
a(CHEBI:63580 ! ribavirin),decreases,a(TEXT:"Nipah Virus"),Ribavirin inhibits Nipah Virus.
a(CHEBI:145994 ! remdesivir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Remdesivir inhibits SARS-CoV-2.
a(CHEBI:145994 ! remdesivir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Remdesivir inhibits SARS Virus.
a(CHEBI:145994 ! remdesivir),decreases,bp(MESH:D013577 ! Syndrome),Remdesivir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:145994 ! remdesivir),decreases,bp(MESH:D006505 ! Hepatitis),Remdesivir inhibits Murine hepatitis virus.
a(CHEBI:145994 ! remdesivir),decreases,a(TEXT:"Zika Virus"),Remdesivir inhibits Zika Virus.
a(CHEBI:24261 ! glucocorticoid),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Glucocorticoid inhibits SARS-CoV-2.
a(CHEBI:24261 ! glucocorticoid),decreases,bp(MESH:D013577 ! Syndrome),Glucocorticoid inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:24261 ! glucocorticoid),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Glucocorticoid inhibits SARS Virus.
a(CHEBI:6402 ! leflunomide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Leflunomide inhibits SARS-CoV-2.
a(CHEBI:7798 ! oseltamivir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Oseltamivir inhibits SARS-CoV-2.
a(CHEBI:7798 ! oseltamivir),decreases,bp(MESH:D013577 ! Syndrome),Oseltamivir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:7798 ! oseltamivir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Oseltamivir inhibits SARS Virus.
a(CHEBI:68540 ! teriflunomide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Teriflunomide inhibits SARS-CoV-2.
a(CHEBI:68540 ! teriflunomide),decreases,bp(MESH:D013577 ! Syndrome),Teriflunomide inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:68540 ! teriflunomide),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Teriflunomide inhibits SARS Virus.
a(TEXT:CVL218),decreases,bp(MESH:C000656484 ! SARS-CoV-2),CVL218 inhibits SARS-CoV-2.
a(CHEBI:31397 ! Ciclesonide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ciclesonide inhibits SARS-CoV-2.
a(CHEBI:31397 ! Ciclesonide),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ciclesonide inhibits SARS Virus.
a(CHEBI:31397 ! Ciclesonide),decreases,bp(MESH:D013577 ! Syndrome),Ciclesonide inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:53756 ! "HIV-1 reverse transcriptase inhibitor"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),HIV-1 reverse transcriptase inhibitor inhibits SARS Virus.
a(CHEBI:53756 ! "HIV-1 reverse transcriptase inhibitor"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),HIV-1 reverse transcriptase inhibitor inhibits SARS-CoV-2.
a(CHEBI:10110 ! zidovudine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Zidovudine inhibits SARS Virus.
a(CHEBI:10110 ! zidovudine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Zidovudine inhibits SARS-CoV-2.
a(CHEBI:10110 ! zidovudine),decreases,bp(MESH:D013577 ! Syndrome),Zidovudine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:3638 ! chloroquine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Chloroquine inhibits SARS-CoV-2.
a(CHEBI:3638 ! chloroquine),decreases,bp(MESH:D013577 ! Syndrome),Chloroquine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:3638 ! chloroquine),decreases,bp(MESH:D006505 ! Hepatitis),Chloroquine inhibits Murine hepatitis virus.
a(CHEBI:41879 ! dexamethasone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Dexamethasone inhibits SARS-CoV-2.
a(CHEBI:41879 ! dexamethasone),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Dexamethasone inhibits SARS Virus.
a(CHEBI:41879 ! dexamethasone),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Dexamethasone inhibits Rift Valley fever virus.
a(CHEBI:465284 ! ganciclovir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ganciclovir inhibits SARS-CoV-2.
a(CHEBI:465284 ! ganciclovir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ganciclovir inhibits SARS Virus.
a(CHEBI:465284 ! ganciclovir),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Ganciclovir inhibits Rift Valley fever virus.
a(CHEBI:465284 ! ganciclovir),decreases,a(TEXT:"Zika Virus"),Ganciclovir inhibits Zika Virus.
a(CHEBI:465284 ! ganciclovir),decreases,bp(MESH:D013577 ! Syndrome),Ganciclovir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:28115 ! methylcobalamin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Methylcobalamin inhibits SARS-CoV-2.
a(CHEBI:63611 ! moxifloxacin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Moxifloxacin inhibits SARS-CoV-2.
a(CHEBI:134722 ! favipiravir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Favipiravir inhibits SARS-CoV-2.
a(CHEBI:134722 ! favipiravir),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Favipiravir inhibits Rift Valley fever virus.
a(CHEBI:134722 ! favipiravir),decreases,a(TEXT:"Zika Virus"),Favipiravir inhibits Zika Virus.
a(CHEBI:134722 ! favipiravir),decreases,bp(MESH:D013577 ! Syndrome),Favipiravir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:134722 ! favipiravir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Favipiravir inhibits SARS Virus.
a(CHEBI:134722 ! favipiravir),decreases,a(TEXT:"Nipah Virus"),Favipiravir inhibits Nipah Virus.
a(CHEBI:134730 ! umifenovir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Umifenovir inhibits SARS-CoV-2.
a(CHEBI:134730 ! umifenovir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Umifenovir inhibits SARS Virus.
a(CHEBI:134730 ! umifenovir),decreases,a(TEXT:"Zika Virus"),Umifenovir inhibits Zika Virus.
a(CHEBI:134730 ! umifenovir),decreases,bp(MESH:D013577 ! Syndrome),Umifenovir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:5801 ! hydroxychloroquine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Hydroxychloroquine inhibits SARS-CoV-2.
a(CHEBI:5801 ! hydroxychloroquine),decreases,bp(MESH:D013577 ! Syndrome),Hydroxychloroquine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:5801 ! hydroxychloroquine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Hydroxychloroquine inhibits SARS Virus.
a(CHEBI:35341 ! steroid),decreases,bp(MESH:D013577 ! Syndrome),Steroid inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:35341 ! steroid),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Steroid inhibits SARS Virus.
a(CHEBI:35341 ! steroid),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Steroid inhibits SARS-CoV-2.
a(CHEBI:35341 ! steroid),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Steroid inhibits Rift Valley fever virus.
a(CHEBI:35341 ! steroid),decreases,a(TEXT:"Zika Virus"),Steroid inhibits Zika Virus.
a(CHEBI:35341 ! steroid),decreases,a(TEXT:"Nipah Virus"),Steroid inhibits Nipah Virus.
a(TEXT:EIDD-2801),decreases,bp(MESH:C000656484 ! SARS-CoV-2),EIDD-2801 inhibits SARS-CoV-2.
a(TEXT:EIDD-2801),decreases,bp(MESH:D013577 ! Syndrome),EIDD-2801 inhibits Middle East Respiratory Syndrome Coronavirus.
a(TEXT:EIDD-2801),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),EIDD-2801 inhibits SARS Virus.
a(TEXT:EIDD-2801),decreases,bp(MESH:D006505 ! Hepatitis),EIDD-2801 inhibits Murine hepatitis virus.
a(CHEBI:17347 ! testosterone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Testosterone inhibits SARS-CoV-2.
a(CHEBI:17347 ! testosterone),decreases,bp(MESH:D013577 ! Syndrome),Testosterone inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:17347 ! testosterone),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Testosterone inhibits SARS Virus.
a(CHEBI:37670 ! "protease inhibitor"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Protease inhibitor inhibits SARS-CoV-2.
a(CHEBI:37670 ! "protease inhibitor"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Protease inhibitor inhibits SARS Virus.
a(CHEBI:37670 ! "protease inhibitor"),decreases,bp(MESH:D013577 ! Syndrome),Protease inhibitor inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:37670 ! "protease inhibitor"),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Protease inhibitor inhibits Rift Valley fever virus.
a(CHEBI:37670 ! "protease inhibitor"),decreases,bp(MESH:D006505 ! Hepatitis),Protease inhibitor inhibits Murine hepatitis virus.
a(CHEBI:16962 ! cortisone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cortisone inhibits SARS-CoV-2.
a(CHEBI:16962 ! cortisone),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Cortisone inhibits SARS Virus.
a(CHEBI:16962 ! cortisone),decreases,bp(MESH:D006505 ! Hepatitis),Cortisone inhibits Murine hepatitis virus.
a(CHEBI:2955 ! azithromycin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Azithromycin inhibits SARS-CoV-2.
a(CHEBI:2955 ! azithromycin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Azithromycin inhibits SARS Virus.
a(CHEBI:2955 ! azithromycin),decreases,bp(MESH:D013577 ! Syndrome),Azithromycin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:3962 ! curcumin),decreases,bp(MESH:D013577 ! Syndrome),Curcumin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:3962 ! curcumin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Curcumin inhibits SARS-CoV-2.
a(CHEBI:3962 ! curcumin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Curcumin inhibits SARS Virus.
a(CHEBI:3962 ! curcumin),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Curcumin inhibits Rift Valley fever virus.
a(CHEBI:3962 ! curcumin),decreases,a(TEXT:"Zika Virus"),Curcumin inhibits Zika Virus.
a(CHEBI:36090 ! "4-coumaric acid"),decreases,bp(MESH:D013577 ! Syndrome),4-coumaric acid inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:27573 ! "silicon atom"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Silicon atom inhibits SARS-CoV-2.
a(CHEBI:27573 ! "silicon atom"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Silicon atom inhibits SARS Virus.
a(CHEBI:17303 ! morphine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Morphine inhibits SARS-CoV-2.
a(CHEBI:17303 ! morphine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Morphine inhibits SARS Virus.
a(CHEBI:490877 ! didanosine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Didanosine inhibits SARS-CoV-2.
a(CHEBI:16113 ! cholesterol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cholesterol inhibits SARS-CoV-2.
a(CHEBI:16113 ! cholesterol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Cholesterol inhibits SARS Virus.
a(CHEBI:16113 ! cholesterol),decreases,a(TEXT:"Zika Virus"),Cholesterol inhibits Zika Virus.
a(CHEBI:16113 ! cholesterol),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Cholesterol inhibits Rift Valley fever virus.
a(CHEBI:16113 ! cholesterol),decreases,bp(MESH:D013577 ! Syndrome),Cholesterol inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:16113 ! cholesterol),decreases,bp(MESH:D006505 ! Hepatitis),Cholesterol inhibits Murine hepatitis virus.
a(CHEBI:16113 ! cholesterol),decreases,a(TEXT:"Nipah Virus"),Cholesterol inhibits Nipah Virus.
a(CHEBI:3647 ! chlorpromazine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Chlorpromazine inhibits SARS Virus.
a(CHEBI:3647 ! chlorpromazine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Chlorpromazine inhibits SARS-CoV-2.
a(CHEBI:3647 ! chlorpromazine),decreases,bp(MESH:D013577 ! Syndrome),Chlorpromazine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:50845 ! doxycycline),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Doxycycline inhibits SARS-CoV-2.
a(CHEBI:50845 ! doxycycline),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Doxycycline inhibits SARS Virus.
p(FPLX:Hemoglobin ! Hemoglobin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Hemoglobin inhibits SARS-CoV-2.
p(FPLX:Hemoglobin ! Hemoglobin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Hemoglobin inhibits SARS Virus.
p(FPLX:Hemoglobin ! Hemoglobin),decreases,bp(MESH:D013577 ! Syndrome),Hemoglobin inhibits Middle East Respiratory Syndrome Coronavirus.
p(FPLX:Hemoglobin ! Hemoglobin),decreases,a(TEXT:"Nipah Virus"),Hemoglobin inhibits Nipah Virus.
a(CHEBI:48828 ! "cobalt(2+)"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cobalt inhibits SARS-CoV-2.
a(CHEBI:48828 ! "cobalt(2+)"),decreases,a(TEXT:"Zika Virus"),Cobalt inhibits Zika Virus.
a(CHEBI:32111 ! saccharin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Saccharin inhibits SARS-CoV-2.
a(CHEBI:52425 ! "EC 3.2.1.18 (exo-alpha-sialidase) inhibitor"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),EC 3.2.1.18 (exo-alpha-sialidase) inhibitor inhibits SARS-CoV-2.
a(CHEBI:52425 ! "EC 3.2.1.18 (exo-alpha-sialidase) inhibitor"),decreases,bp(MESH:D013577 ! Syndrome),EC 3.2.1.18 (exo-alpha-sialidase) inhibitor inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:52425 ! "EC 3.2.1.18 (exo-alpha-sialidase) inhibitor"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),EC 3.2.1.18 (exo-alpha-sialidase) inhibitor inhibits SARS Virus.
a(CHEBI:17996 ! chloride),decreases,bp(MESH:D013577 ! Syndrome),Chloride inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:17996 ! chloride),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Chloride inhibits SARS-CoV-2.
a(CHEBI:17996 ! chloride),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Chloride inhibits SARS Virus.
a(CHEBI:421707 ! abacavir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Abacavir inhibits SARS-CoV-2.
a(CHEBI:421707 ! abacavir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Abacavir inhibits SARS Virus.
a(CHEBI:421707 ! abacavir),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Abacavir inhibits Rift Valley fever virus.
a(TEXT:Tocilizumab),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Tocilizumab inhibits SARS-CoV-2.
